"Player_Name","Role_Desc","Player_team","Opposit_Team","is_manofThematch","pscore","City_Name"
"IC Pandey","Player","Chennai Super Kings","Kings XI Punjab","0","0","Kings XI Punjab"
"WP Saha","Keeper","Kings XI Punjab","Chennai Super Kings","0","1","Kings XI Punjab"
"GJ Bailey","Captain","Kings XI Punjab","Chennai Super Kings","0","4","Kings XI Punjab"
"GJ Maxwell","Player","Kings XI Punjab","Chennai Super Kings","0","1","Kings XI Punjab"
"DA Miller","Player","Kings XI Punjab","Chennai Super Kings","0","1","Kings XI Punjab"
"Gurkeerat Singh","Player","Kings XI Punjab","Chennai Super Kings","0","1","Kings XI Punjab"
"M Vohra","Player","Kings XI Punjab","Chennai Super Kings","0","1","Kings XI Punjab"
"R Dhawan","Player","Kings XI Punjab","Chennai Super Kings","0","1","Kings XI Punjab"
"Sandeep Sharma","Player","Kings XI Punjab","Chennai Super Kings","0","1","Kings XI Punjab"
"AR Patel","Player","Kings XI Punjab","Chennai Super Kings","0","1","Kings XI Punjab"
"Anureet Singh","Player","Kings XI Punjab","Chennai Super Kings","0","1","Kings XI Punjab"
"YK Pathan","Player","Kolkata Knight Riders","Rajasthan Royals","0","0","Rajasthan Royals"
"G Gambhir","Captain","Kolkata Knight Riders","Rajasthan Royals","0","3","Rajasthan Royals"
"RV Uthappa","Keeper","Kolkata Knight Riders","Rajasthan Royals","0","0","Rajasthan Royals"
"PP Chawla","Player","Kolkata Knight Riders","Rajasthan Royals","0","0","Rajasthan Royals"
"MK Pandey","Player","Kolkata Knight Riders","Rajasthan Royals","0","0","Rajasthan Royals"
"M Morkel","Player","Kolkata Knight Riders","Rajasthan Royals","0","0","Rajasthan Royals"
"UT Yadav","Player","Kolkata Knight Riders","Rajasthan Royals","0","0","Rajasthan Royals"
"Shakib Al Hasan","Player","Kolkata Knight Riders","Rajasthan Royals","0","0","Rajasthan Royals"
"SA Yadav","Player","Kolkata Knight Riders","Rajasthan Royals","0","0","Rajasthan Royals"
